guid,Country,"Country info",Capital,"Capital info","Capital hint",Flag,"Flag similarity",Map,tags			
SdUr}o7uCD,AfghĂˇnistĂˇn,,KĂˇbul,,,"<img src=""ug-flag-afghanistan.png"" />",,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"			
Kqu<?fnYdj,Anglie,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",LondĂ˝n,,"<div>NejednĂˇ se o suverĂ©nnĂ­ stĂˇt.</div><div></div>","<img src=""ug-flag-england.svg"" />",,"<img src=""ug-map-england.png"" />",UG::Europe			
NKd8wkwSc},Skotsko,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Edinburgh,,,"<img src=""ug-flag-scotland.svg"" />",,"<img src=""ug-map-scotland.png"" />",UG::Europe			
Yhs*Ijz8VC,"SpojenĂ© krĂˇlovstvĂ­","ZnĂˇmĂ© tĂ©Ĺľ jako VelkĂˇ BritĂˇnie.",LondĂ˝n,,"<div>SuverĂ©nnĂ­ stĂˇt.</div>","<img src=""ug-flag-united_kingdom.svg"" />",,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
I=<IzW3dl	,"SevernĂ­ Irsko","<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Belfast,,,,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe		
Spjlp9rD,:,Francie,,PaĹ™Ă­Ĺľ,,,"<img src=""ug-flag-france.svg"" />",,"<img src=""ug-map-france.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
N;(h`tu;$,,Wales,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Cardiff,,,"<img src=""ug-flag-wales.svg"" />",,"<img src=""ug-map-wales.png"" />",UG::Europe			
P	I	x<	mf|,Gruzie,,Tbilisi,,,"<img src=""ug-flag-georgia.svg"" />",,"<img src=""ug-map-georgia.png"" />","UG::Europe UG::Sovereign_State"
PI!BM*PLv+,NÄ›mecko,,BerlĂ­n,,,"<img src=""ug-flag-germany.svg"" />",,"<img src=""ug-map-germany.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
Tq4zZAttN.,Ĺecko,,AthĂ©ny,,,"<img src=""ug-flag-greece.svg"" />",,"<img src=""ug-map-greece.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
OW*4tdwIqL,GrĂłnsko,"AutonomnĂ­ souÄŤĂˇst DĂˇnskĂ©ho krĂˇlovstvĂ­.",Nuuk,,,"<img src=""ug-flag-greenland.svg"" />",,"<img src=""ug-map-greenland.png"" />",UG::North_America			
SNNmX(ZBvD,MaÄŹarsko,,BudapeĹˇĹĄ,,,"<img src=""ug-flag-hungary.svg"" />",,"<img src=""ug-map-hungary.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
M!hk^UHMp),AlbĂˇnie,,Tirana,,,"<img src=""ug-flag-albania.svg"" />",,"<img src=""ug-map-albania.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"			
J{he]7qN%^,Andorra,,"Andorra la Vella",,,"<img src=""ug-flag-andorra.png"" />","<div>Moldavsko (ĹˇirĹˇĂ­, erb s orlem)</div>","<img src=""ug-map-andorra.png"" />","UG::Europe UG::Sovereign_State"			
XzL,*eiFuS,Rakousko,,VĂ­deĹ,,,"<img src=""ug-flag-austria.svg"" />","<div>LotyĹˇsko (tmavĹˇĂ­ ÄŤervenĂˇ, uĹľĹˇĂ­ bĂ­lĂ˝ pruh)</div>","<img src=""ug-map-austria.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
Qh(tmyv2!+,ĂzerbĂˇjdĹľĂˇn,,Baku,,,"<img src=""ug-flag-azerbaijan.svg"" />",,"<img src=""ug-map-azerbaijan.png"" />","UG::Europe UG::Sovereign_State"			
Rk!:{NQ:DD,BÄ›lorusko,,Minsk,,,"<img src=""ug-flag-belarus.svg"" />",,"<img src=""ug-map-belarus.png"" />","UG::Europe UG::Sovereign_State"			
P[	ZHTH9s*,Belgie,,Brusel,,"<div>SuverĂ©nnĂ­ stĂˇt</div><div></div>","<img src=""ug-flag-belgium.svg"" />",,"<img src=""ug-map-belgium.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"		
S!Cz	56)p3,"Bosna a hercegovina",,Sarajevo,,,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />",,"<img src=""ug-map-bosnia_and_herzegovina.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"		
0cEWEn6Mk4,Bulharsko,,Sofie,,,"<img src=""ug-flag-bulgaria.svg"" />",,"<img src=""ug-map-bulgaria.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
HVa$v[*MS*,Chorvatsko,,ZĂˇhĹ™eb,,,"<img src=""ug-flag-croatia.png"" />",,"<img src=""ug-map-croatia.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
Z72Sw&AS.Y,ÄŚesko,"<div>PouĹľĂ­vanĂ© ÄŤasteji ÄŚeskĂˇ republika.</div><div></div>",Praha,,,"<img src=""ug-flag-czech_republic.svg"" />",,"<img src=""ug-map-czech_republic.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
